#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
44.6%,44599777,-452353.7616288448,87526.44383362285,298.75304097696164,347.6979874654409,32.2
44.8%,44799776,-451038.89674701076,86676.74225829149,295.85276400425954,348.1697282088787,32.2
45.0%,44999775,-452270.6582668829,86897.79699446302,296.60728768602985,347.77337704565673,32.2
45.2%,45199774,-451930.669582915,86404.20913353655,294.92252970909885,348.8983601639525,32.2
45.4%,45399773,-451020.5879648817,87275.44681564561,297.89631563645327,348.83199435797735,32.2
45.6%,45599772,-451410.0666831704,86674.38962894515,295.84473380057796,346.7465318708366,32.2
45.8%,45799771,-450868.92746385233,87759.88601141484,299.5498465759668,348.7583428149766,32.2
46.0%,45999770,-451385.7929038373,86813.6580027038,296.32009699768673,348.66080576397513,32.2
46.2%,46199769,-453173.8717626417,87562.59875758982,298.876448178355,345.7223579077866,32.2
46.4%,46399768,-452557.7063777689,86885.15465086524,296.5641357147,347.76579331804015,32.2
46.6%,46599767,-451401.42267583404,86717.72972327167,295.99266606435054,347.94853170187923,32.2
46.8%,46799766,-451816.06477439404,87103.83462597558,297.31055365085155,347.1783043071525,32.2
47.0%,46999765,-452909.30384959653,87265.50706572545,297.86238839817946,347.69133506809675,32.3
47.2%,47199764,-452257.38257699274,88005.5004881036,300.3881997479318,347.95485911095284,32.3
47.4%,47399763,-452313.49197089765,87354.30934552121,298.1654962359102,349.0058999019021,32.3
47.6%,47599762,-450938.27798493113,86502.02539969748,295.2564048866182,347.8727590617253,32.3
47.8%,47799761,-450831.8615703969,87077.62168750764,297.2210813184085,347.6625480989214,32.3
48.0%,47999760,-452421.289674256,86529.7738883578,295.3511184955196,348.30519249863374,32.3
48.2%,48199759,-452451.1217393256,87879.11354502596,299.956804595445,348.6681201822482,32.3
48.4%,48399758,-450933.96346854884,87038.25264738686,297.0867034099586,348.21844090151626,32.3
48.6%,48599757,-451810.54102093214,87132.595747613,297.40872366867404,346.8289248853973,32.3
48.8%,48799756,-453014.5359607064,88006.15081523382,300.39041950231996,347.69415365109194,32.3
49.0%,48999755,-452079.5485634282,87113.31514977873,297.3429134177082,348.7985977323374,32.3
